Class,Agent (Brand / Generic),System Function (Govt Goal),Evidence Steering (Defense Impact)
I. The Flatteners (Antipsychotics),Haldol (Haloperidol),Stop agitation; sedate heavily.,"""The Guilty Stare"": Frozen facial muscles mimic lack of remorse."
,Thorazine (Chlorpromazine),Chemical restraint.,Extreme lethargy; appears uninterested in own defense.
,Prolixin (Fluphenazine),Long-term compliance.,"""Haldol Shuffle"" (gait issues) suggests physical danger."
,Zyprexa (Olanzapine),Manage mania/psychosis.,Rapid weight gain & apathy; changes appearance significantly.
,Seroquel (Quetiapine),"Sedation (""Baby Heroin"").",Inability to wake for court; groggy testimony.
,Risperdal (Risperidone),Mood management.,Hormonal changes; mental dulling/slurred speech.
,Geodon (Ziprasidone),Acute sedation.,Requires food for absorption; erratic dosing causes instability.
,Abilify (Aripiprazole),Maintenance.,"Akathisia: Inner restlessness looks like ""nervous lying."""
,Invega (Paliperidone),Sustained release.,"Long-term flattening; ""zombie"" demeanor."
,Clozaril (Clozapine),Refractory cases.,Drooling/sedation; makes defendant look incompetent.
,Navane (Thiothixene),Potency/Control.,"Older drug profile; heavy ""medical"" look."
,Loxitane (Loxapine),Sedation.,General cognitive slowing.
,Latuda (Lurasidone),Bipolar depression.,Somnolence; slow processing speed.
,Fanapt (Iloperidone),Maintenance.,Dizziness/confusion on the stand.
,Saphris (Asenapine),Rapid control.,Tongue numbness/slurring words.
,Trilafon (Perphenazine),Psychosis control.,"""Masked facies"" (no emotion)."
,Stelazine (Trifluoperazine),Anxiety/Psychosis.,Jitteriness or blankness.
,Mellaril (Thioridazine),Sedation.,"""Mental Fog"": Inability to track complex legal arguments."
II. The Erasers (Anxiolytics),Ativan (Lorazepam),Unit quietness; compliance.,Amnesia: Forgetting interactions or plea details.
,Xanax (Alprazolam),Panic control.,"Disinhibition: Talking too much, then forgetting it."
,Klonopin (Clonazepam),Long-term anxiety.,"The ""Klonopin Haze""; detachment from reality."
,Valium (Diazepam),Muscle/Mind relaxant.,"Appears ""too calm"" given the gravity of charges."
,Librium (Chlordiazepoxide),Detox protocol.,Twilight state; easy to manipulate in interrogation.
,Vistaril (Hydroxyzine),Mild sedation.,"""Muddy"" thinking; slow reaction time."
,Restoril (Temazepam),Sleep induction.,Morning grogginess; missed meetings.
,Benadryl (Diphenhydramine),Off-label sedation.,"Dry mouth; confusion; looks ""hungover."""
,Buspar (Buspirone),Anxiety maintenance.,Dizziness; mild cognitive fog.
III. The Anchors (Mood Stabilizers),Depakote (Valproic Acid),"Behavioral control (""The Blanket"").",Tremors: Shaking hands look like guilt/fear.
,Lithium,Mania control.,"Flat affect; ""Thirst"" (constant water drinking distracts jury)."
,Tegretol (Carbamazepine),Aggression control.,Slowed reaction time to questions.
,Trileptal (Oxcarbazepine),Mood stability.,Word-finding difficulty.
,Topamax (Topiramate),Impulse control.,"""Dope-a-Max"": Induced stupidity/cognitive decline."
,Lamictal (Lamotrigine),Maintenance.,Brain fog; loss of sharp recall.
,Neurontin (Gabapentin),Pain/Anxiety abuse.,"""Loopy"" behavior; smiling at inappropriate times."
IV. The Sleepers (Sedating Antidepressants),Remeron (Mirtazapine),Sleep/Appetite.,Extreme weight gain; lethargy.
,Trazodone (Trazodone),"""Jail Sleeping Pill.""","""Hangover"" effect; nodding off in court."
,Elavil (Amitriptyline),Heavy sedation.,Dry mouth (difficulty speaking clearly).
,Sinequan (Doxepin),Sleep maintenance.,Disorientation upon waking.
,Paxil (Paroxetine),SSRI/Sedation.,"Emotional Blunting: ""I don't care what happens."""
,Effexor (Venlafaxine),SNRI.,"""Brain Zaps"": Withdrawal causes irritability/outbursts."
V. The Correctors (Side Effects),Cogentin (Benztropine),"Fix ""Haldol Shakes.""",Memory Eraser: Anticholinergic effect blocks memory formation.
,Artane (Trihexyphenidyl),Parkinsonism.,Confusion; euphoria at high doses.
,Inderal (Propranolol),Tremors/Anxiety.,Low blood pressure; fainting; low energy.
